tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
789,2020-01-01 00:00:55.3900,2020-01-01 00:14:05.1470,504,1 Ave & E 16 St,40.73221853,-73.98165557,307,Canal St & Rutgers St,40.71427487,-73.98990025,30326,Subscriber,1992,1
1541,2020-01-01 00:01:08.1020,2020-01-01 00:26:49.1780,3423,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112,3300,Prospect Park West & 8 St,40.6651468153379,-73.9763760566711,17105,Customer,1969,1
1464,2020-01-01 00:01:42.1400,2020-01-01 00:26:07.0110,3687,E 33 St & 1 Ave,40.7432268143217,-73.9744978398085,259,South St & Whitehall St,40.70122128,-74.01234218,40177,Subscriber,1963,1
592,2020-01-01 00:01:45.5610,2020-01-01 00:11:38.1550,346,Bank St & Hudson St,40.73652889,-74.00618026,490,8 Ave & W 33 St,40.751551,-73.993934,27690,Subscriber,1980,1
702,2020-01-01 00:01:45.7880,2020-01-01 00:13:28.2400,372,Franklin Ave & Myrtle Ave,40.694546087246,-73.9580136537552,3637,Fulton St & Waverly Ave,40.6832386546034,-73.9659959077835,32583,Subscriber,1982,1
1740,2020-01-01 00:02:04.6780,2020-01-01 00:31:04.7070,394,E 9 St & Avenue C,40.72521311,-73.97768752,478,11 Ave & W 41 St,40.76030096,-73.99884222,41475,Subscriber,1980,1
203,2020-01-01 00:02:06.0380,2020-01-01 00:05:29.2050,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3668,Leonard St & Nassau Ave,40.7239567849954,-73.9498436450958,30072,Subscriber,1985,1
1758,2020-01-01 00:02:19.6320,2020-01-01 00:31:37.9640,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,30055,Subscriber,1969,0
114,2020-01-01 00:03:49.8380,2020-01-01 00:05:44.1390,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,14936,Subscriber,1991,1
417,2020-01-01 00:03:53.2700,2020-01-01 00:10:50.2850,467,Dean St & 4 Ave,40.68312489,-73.97895137,3368,5 Ave & 3 St,40.6728155,-73.98352355,40210,Subscriber,1971,1
422,2020-01-01 00:03:55.9890,2020-01-01 00:10:58.4490,504,1 Ave & E 16 St,40.73221853,-73.98165557,393,E 5 St & Avenue C,40.72299208,-73.97995466,35019,Subscriber,1975,1
475,2020-01-01 00:04:13.8840,2020-01-01 00:12:08.9370,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,3379,E 103 St & Lexington Ave,40.7903051,-73.94755757,28224,Subscriber,1997,1
1120,2020-01-01 00:04:16.7700,2020-01-01 00:22:57.4690,514,12 Ave & W 40 St,40.76087502,-74.00277668,405,Washington St & Gansevoort St,40.739323,-74.008119,26343,Subscriber,2001,1
152,2020-01-01 00:04:30.9650,2020-01-01 00:07:02.9900,536,1 Ave & E 30 St,40.74144387,-73.97536082,174,E 25 St & 1 Ave,40.7381765,-73.97738662,18808,Subscriber,1978,1
459,2020-01-01 00:04:33.8260,2020-01-01 00:12:13.5130,502,Henry St & Grand St,40.714211,-73.981095,296,Division St & Bowery (old),40.71413089,-73.9970468,40558,Subscriber,1978,1
604,2020-01-01 00:04:56.9320,2020-01-01 00:15:01.7520,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,3068,Humboldt St & Varet St,40.7031724,-73.940636,41337,Customer,1994,1
1095,2020-01-01 00:05:36.6700,2020-01-01 00:23:52.0200,514,12 Ave & W 40 St,40.76087502,-74.00277668,405,Washington St & Gansevoort St,40.739323,-74.008119,30266,Customer,2001,2
2077,2020-01-01 00:05:57.3170,2020-01-01 00:40:34.4230,3709,W 15 St & 6 Ave,40.7380461424828,-73.996429592371,440,E 45 St & 3 Ave,40.75255434,-73.97282625,41225,Subscriber,1983,1
579,2020-01-01 00:05:59.9140,2020-01-01 00:15:39.6350,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3411,Bond St & Bergen St,40.6849668,-73.98620772,39925,Subscriber,1961,1
318,2020-01-01 00:06:38.4190,2020-01-01 00:11:57.1130,516,E 47 St & 1 Ave,40.75206862,-73.96784384,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,30753,Subscriber,1969,1
540,2020-01-01 00:06:56.3690,2020-01-01 00:15:56.8290,285,Broadway & E 14 St,40.73454567,-73.99074142,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,41584,Subscriber,1984,0
1222,2020-01-01 00:06:56.3970,2020-01-01 00:27:18.5280,513,W 56 St & 10 Ave,40.768254,-73.988639,3244,University Pl & E 8 St,40.7314372408523,-73.9949034154415,34396,Subscriber,1981,1
120,2020-01-01 00:07:05.8120,2020-01-01 00:09:06.6000,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3141,1 Ave & E 68 St,40.76500525,-73.95818491,29855,Subscriber,1985,2
826,2020-01-01 00:07:09.0670,2020-01-01 00:20:55.5030,3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,3686,Gansevoort St & Hudson St,40.739448201304,-74.0050703287125,33841,Subscriber,1982,1
1364,2020-01-01 00:07:34.0250,2020-01-01 00:30:18.2410,513,W 56 St & 10 Ave,40.768254,-73.988639,3233,E 48 St & 5 Ave,40.7572456791173,-73.978059142828,39065,Subscriber,1981,1
116,2020-01-01 00:07:35.6070,2020-01-01 00:09:32.1850,467,Dean St & 4 Ave,40.68312489,-73.97895137,3419,Douglass St & 4 Ave,40.6792788,-73.98154004,18107,Subscriber,1992,1
658,2020-01-01 00:08:01.2210,2020-01-01 00:18:59.7860,279,Peck Slip & Front St,40.707873,-74.00167,502,Henry St & Grand St,40.714211,-73.981095,32493,Subscriber,1987,1
706,2020-01-01 00:08:12.5260,2020-01-01 00:19:59.4860,297,E 15 St & 3 Ave,40.734232,-73.986923,379,W 31 St & 7 Ave,40.749156,-73.9916,28539,Subscriber,1994,1
171,2020-01-01 00:08:28.9630,2020-01-01 00:11:20.1760,3494,E 115 St & Lexington Ave,40.797911,-73.9423,3506,Lexington Ave & E 120 St,40.8013066,-73.9398167,30604,Subscriber,1992,1
210,2020-01-01 00:08:36.2790,2020-01-01 00:12:06.9210,307,Canal St & Rutgers St,40.71427487,-73.98990025,291,Madison St & Montgomery St,40.713126,-73.984844,40567,Subscriber,1966,2
120,2020-01-01 00:08:47.1850,2020-01-01 00:10:47.6940,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,30691,Subscriber,1991,1
1054,2020-01-01 00:08:51.1460,2020-01-01 00:26:25.5390,128,MacDougal St & Prince St,40.72710258,-74.00297088,489,10 Ave & W 28 St,40.75066386,-74.00176802,32643,Subscriber,1966,1
366,2020-01-01 00:08:53.4710,2020-01-01 00:14:59.8700,238,Bank St & Washington St,40.7361967,-74.00859207,439,E 4 St & 2 Ave,40.7262807,-73.98978041,28966,Subscriber,1996,0
1327,2020-01-01 00:08:59.2290,2020-01-01 00:31:06.3310,3798,W 40 St & 5 Ave,40.752269,-73.982079,377,6 Ave & Canal St,40.72243797,-74.00566443,16378,Customer,1988,1
298,2020-01-01 00:08:59.7870,2020-01-01 00:13:57.9520,3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,3506,Lexington Ave & E 120 St,40.8013066,-73.9398167,34140,Subscriber,1990,2
639,2020-01-01 00:09:29.4420,2020-01-01 00:20:08.8740,2012,E 27 St & 1 Ave,40.739445,-73.976806,439,E 4 St & 2 Ave,40.7262807,-73.98978041,30689,Subscriber,1990,1
1640,2020-01-01 00:09:37.9730,2020-01-01 00:36:58.7630,3687,E 33 St & 1 Ave,40.7432268143217,-73.9744978398085,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,41329,Subscriber,1990,1
2277,2020-01-01 00:09:45.4050,2020-01-01 00:47:42.6920,526,E 33 St & 5 Ave,40.74765947,-73.98490707,450,W 49 St & 8 Ave,40.76227205,-73.98788205,38625,Subscriber,1986,1
1211,2020-01-01 00:09:54.7400,2020-01-01 00:30:06.2470,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3671,E 81 St & 2 Ave,40.7747794489573,-73.9542746543884,38797,Subscriber,1971,1
2637,2020-01-01 00:10:02.8750,2020-01-01 00:54:00.6690,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,39345,Subscriber,1989,1
205,2020-01-01 00:10:10.6250,2020-01-01 00:13:36.5860,495,W 47 St & 10 Ave,40.76269882,-73.99301222,513,W 56 St & 10 Ave,40.768254,-73.988639,39960,Subscriber,1984,1
2607,2020-01-01 00:10:24.1730,2020-01-01 00:53:51.5000,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,40388,Subscriber,1984,1
292,2020-01-01 00:11:00.4800,2020-01-01 00:15:53.0220,517,Pershing Square South,40.751581,-73.97791,472,E 32 St & Park Ave,40.7457121,-73.98194829,14697,Subscriber,1959,1
307,2020-01-01 00:11:07.3580,2020-01-01 00:16:15.0270,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,346,Bank St & Hudson St,40.73652889,-74.00618026,38893,Subscriber,1963,1
118,2020-01-01 00:11:13.5230,2020-01-01 00:13:12.3560,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,34966,Subscriber,1991,2
2793,2020-01-01 00:11:18.3580,2020-01-01 00:57:51.9930,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,387,Centre St & Chambers St,40.71273266,-74.0046073,18388,Customer,1969,0
140,2020-01-01 00:11:25.5340,2020-01-01 00:13:46.1810,485,W 37 St & 5 Ave,40.75038009,-73.98338988,362,Broadway & W 37 St,40.75172632,-73.98753523,34151,Subscriber,1988,1
358,2020-01-01 00:11:27.9490,2020-01-01 00:17:26.9430,3310,14 St & 7 Ave,40.663779,-73.98396846,3416,7 Ave & Park Pl,40.6776147,-73.97324283,34004,Subscriber,1982,1
793,2020-01-01 00:11:38.5780,2020-01-01 00:24:52.0940,3159,W 67 St & Broadway,40.77492513,-73.98266566,3165,Central Park West & W 72 St,40.7757937668367,-73.9762057363987,30140,Subscriber,1977,1
1115,2020-01-01 00:11:43.0420,2020-01-01 00:30:18.8070,3304,6 Ave & 9 St,40.668127,-73.98377641,3584,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,39312,Subscriber,1985,1
733,2020-01-01 00:11:47.4010,2020-01-01 00:24:01.2180,536,1 Ave & E 30 St,40.74144387,-73.97536082,492,W 33 St & 7 Ave,40.75019995,-73.99093085,16571,Subscriber,1988,1
1182,2020-01-01 00:12:22.2190,2020-01-01 00:32:05.0810,3308,Kane St & Clinton St,40.6861758,-73.99645295,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,38445,Subscriber,1958,2
595,2020-01-01 00:12:32.7560,2020-01-01 00:22:28.3440,376,John St & William St,40.70862144,-74.00722156,295,Pike St & E Broadway,40.71406667,-73.99293911,34116,Subscriber,1994,1
780,2020-01-01 00:12:49.7130,2020-01-01 00:25:50.4170,3762,3 Ave & Carroll St,40.677027,-73.9865,3762,3 Ave & Carroll St,40.677027,-73.9865,38395,Subscriber,1967,2
771,2020-01-01 00:12:55.2610,2020-01-01 00:25:46.6960,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,3295,Central Park W & W 96 St,40.79127,-73.964839,28053,Subscriber,1997,1
396,2020-01-01 00:12:58.1940,2020-01-01 00:19:34.6140,518,E 39 St & 2 Ave,40.74780373,-73.9734419,2012,E 27 St & 1 Ave,40.739445,-73.976806,33810,Subscriber,1990,1
401,2020-01-01 00:13:38.3190,2020-01-01 00:20:19.8230,3571,Bedford Ave & Bergen St,40.676368,-73.952918,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,30358,Subscriber,1989,0
759,2020-01-01 00:14:17.5720,2020-01-01 00:26:57.3060,3687,E 33 St & 1 Ave,40.7432268143217,-73.9744978398085,482,W 15 St & 7 Ave,40.73935542,-73.99931783,38098,Subscriber,1961,1
155,2020-01-01 00:14:21.7240,2020-01-01 00:16:57.0410,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,17231,Subscriber,1991,1
449,2020-01-01 00:14:22.9790,2020-01-01 00:21:52.7070,3500,E 115 St & Madison Ave,40.7989445,-73.944846,3507,Park Ave & E 124 St,40.8045555,-73.9396861,16864,Subscriber,2000,1
693,2020-01-01 00:14:24.7590,2020-01-01 00:25:58.3110,3718,E 11 St & Avenue B,40.7274642069239,-73.9795041829348,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,29004,Customer,1985,2
236,2020-01-01 00:14:34.0990,2020-01-01 00:18:30.9540,3609,Vernon Blvd & 31 Ave,40.7692475,-73.9354504,3612,30 Ave & 21 St,40.7703743,-73.9286078,40649,Subscriber,1982,1
319,2020-01-01 00:14:41.9560,2020-01-01 00:20:01.5740,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,3416,7 Ave & Park Pl,40.6776147,-73.97324283,32376,Subscriber,1942,1
585,2020-01-01 00:14:42.3420,2020-01-01 00:24:28.1900,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,3142,1 Ave & E 62 St,40.7612274,-73.96094022,39842,Subscriber,2000,2
207,2020-01-01 00:14:49.9660,2020-01-01 00:18:17.3730,116,W 17 St & 8 Ave,40.74177603,-74.00149746,462,W 22 St & 10 Ave,40.74691959,-74.00451887,33835,Subscriber,1964,1
848,2020-01-01 00:14:51.9590,2020-01-01 00:29:00.1300,495,W 47 St & 10 Ave,40.76269882,-73.99301222,3177,W 84 St & Broadway,40.7867947,-73.977112,30817,Subscriber,1979,1
863,2020-01-01 00:14:57.7300,2020-01-01 00:29:20.9810,3389,Carroll St & Columbia St,40.6830456,-74.00348559,391,Clark St & Henry St,40.69760127,-73.99344559,16347,Subscriber,1951,1
648,2020-01-01 00:15:02.0460,2020-01-01 00:25:50.6310,3718,E 11 St & Avenue B,40.7274642069239,-73.9795041829348,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,16923,Subscriber,1981,1
996,2020-01-01 00:15:03.2510,2020-01-01 00:31:39.9270,3423,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112,3587,Carroll St & Washington Ave,40.6686744,-73.9618148,41638,Subscriber,1975,1
1001,2020-01-01 00:15:03.3130,2020-01-01 00:31:44.6470,3423,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112,3587,Carroll St & Washington Ave,40.6686744,-73.9618148,41080,Customer,1969,0
1545,2020-01-01 00:15:10.1230,2020-01-01 00:40:55.3190,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,15946,Customer,1990,1
218,2020-01-01 00:15:12.2480,2020-01-01 00:18:50.4000,504,1 Ave & E 16 St,40.73221853,-73.98165557,297,E 15 St & 3 Ave,40.734232,-73.986923,15727,Subscriber,1994,1
1530,2020-01-01 00:15:22.1310,2020-01-01 00:40:52.9510,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,18002,Customer,1990,2
692,2020-01-01 00:15:27.3940,2020-01-01 00:26:59.6210,82,St James Pl & Pearl St,40.71117416,-74.00016545,432,E 7 St & Avenue A,40.72621788,-73.98379855,40806,Subscriber,1989,2
2585,2020-01-01 00:15:45.4380,2020-01-01 00:58:50.5190,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,499,Broadway & W 60 St,40.76915505,-73.98191841,30433,Subscriber,1981,1
339,2020-01-01 00:15:48.5240,2020-01-01 00:21:27.8310,3366,West End Ave & W 107 St,40.8021174,-73.9681805305,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,17615,Subscriber,1966,1
768,2020-01-01 00:15:52.4530,2020-01-01 00:28:41.4110,504,1 Ave & E 16 St,40.73221853,-73.98165557,487,E 20 St & FDR Drive,40.73314259,-73.97573881,39732,Subscriber,1971,2
1010,2020-01-01 00:15:53.6310,2020-01-01 00:32:44.5320,3143,5 Ave & E 78 St,40.7763214218227,-73.964273929596,3168,Central Park West & W 85 St,40.78472675,-73.96961715,41072,Subscriber,1987,1
1280,2020-01-01 00:15:54.3000,2020-01-01 00:37:14.8480,3305,E 91 St & 2 Ave,40.7811222993417,-73.9496558904648,3815,E 51 St & 2 Ave,40.755293,-73.967641,27499,Subscriber,1990,1
1549,2020-01-01 00:15:56.1700,2020-01-01 00:41:46.0950,470,W 20 St & 8 Ave,40.74345335,-74.00004031,453,W 22 St & 8 Ave,40.74475148,-73.99915362,41167,Subscriber,1964,1
568,2020-01-01 00:16:02.1500,2020-01-01 00:25:30.6870,2008,Little West St & 1 Pl,40.70569254,-74.01677685,330,Reade St & Broadway,40.71450451,-74.00562789,34025,Subscriber,1955,1
1246,2020-01-01 00:16:19.3730,2020-01-01 00:37:05.9590,3305,E 91 St & 2 Ave,40.7811222993417,-73.9496558904648,3815,E 51 St & 2 Ave,40.755293,-73.967641,32600,Customer,1969,0
771,2020-01-01 00:16:23.7480,2020-01-01 00:29:15.3480,3389,Carroll St & Columbia St,40.6830456,-74.00348559,391,Clark St & Henry St,40.69760127,-73.99344559,17685,Subscriber,1964,2
2634,2020-01-01 00:16:40.0820,2020-01-01 01:00:34.2340,422,W 59 St & 10 Ave,40.770513,-73.988038,3290,E 89 St & York Ave,40.7779453,-73.946041,33355,Customer,2001,1
182,2020-01-01 00:16:51.4010,2020-01-01 00:19:53.8790,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,289,Monroe St & Classon Ave,40.6845683,-73.95881081,41297,Subscriber,1986,1
241,2020-01-01 00:17:04.9580,2020-01-01 00:21:06.5190,472,E 32 St & Park Ave,40.7457121,-73.98194829,167,E 39 St & 3 Ave,40.7489006,-73.97604882,31381,Subscriber,1975,1
395,2020-01-01 00:18:03.3560,2020-01-01 00:24:39.1320,540,Lexington Ave & E 29 St,40.7431155537649,-73.9821535348892,545,E 23 St & 1 Ave,40.736502,-73.97809472,21084,Subscriber,1981,1
664,2020-01-01 00:18:06.2210,2020-01-01 00:29:10.7170,326,E 11 St & 1 Ave,40.72953837,-73.98426726,127,Barrow St & Hudson St,40.73172428,-74.00674436,15357,Subscriber,1994,1
211,2020-01-01 00:18:09.7630,2020-01-01 00:21:40.8930,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,27599,Subscriber,1979,1
797,2020-01-01 00:18:10.6350,2020-01-01 00:31:28.1430,434,9 Ave & W 18 St,40.74317449,-74.00366443,494,W 26 St & 8 Ave,40.74734825,-73.99723551,40634,Subscriber,1982,2
409,2020-01-01 00:18:15.5990,2020-01-01 00:25:04.7980,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3117,Franklin St & Dupont St,40.73564,-73.95866,33818,Subscriber,1989,1
166,2020-01-01 00:18:18.4720,2020-01-01 00:21:04.5370,461,E 20 St & 2 Ave,40.73587678,-73.98205027,487,E 20 St & FDR Drive,40.73314259,-73.97573881,41911,Subscriber,1960,1
208,2020-01-01 00:18:53.6080,2020-01-01 00:22:22.5720,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3016,Kent Ave & N 7 St,40.7203677529846,-73.9616507291794,33763,Subscriber,1965,1
1965,2020-01-01 00:18:55.4370,2020-01-01 00:51:40.7410,3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,519,Pershing Square North,40.751873,-73.977706,41416,Subscriber,1959,1
551,2020-01-01 00:18:55.9640,2020-01-01 00:28:07.2850,3088,Union Ave & Jackson St,40.7160751,-73.952029,3112,Milton St & Franklin St,40.72906,-73.95779,39441,Customer,1969,0
693,2020-01-01 00:19:00.8910,2020-01-01 00:30:34.8020,3139,E 72 St & Park Ave,40.7711828754066,-73.964094221592,3312,1 Ave & E 94 St,40.7817212,-73.94594,29787,Subscriber,1977,1
786,2020-01-01 00:19:10.1990,2020-01-01 00:32:16.8270,3161,W 76 St & Columbus Ave,40.7801839724239,-73.9772853255272,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,28599,Subscriber,1992,1
2598,2020-01-01 00:19:18.1250,2020-01-01 01:02:36.6210,427,Bus Slip & State St,40.701907,-74.013942,308,St James Pl & Oliver St,40.71307916,-73.99851193,29567,Subscriber,1979,1
789,2020-01-01 00:19:31.0380,2020-01-01 00:32:40.1990,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,499,Broadway & W 60 St,40.76915505,-73.98191841,40630,Subscriber,1989,1
